1,12,AS195H
2,3,AP962W
2,4,AR489D
3,3,AM880C
3,2,AN391B
4,7,XBAU28
5,1,AS645A
6,838,AG12177
6,836,AG29935
7,50,AR602H
8,14,AM185A
8,17,AM572U
8,16,AM678D
8,19,AN280R
8,3,AN581J
8,20,AP248M
8,21,AP562U
9,10,AL312C
9,7,AL794W
9,71,AP733S
9,9,AR874C
10,3,AS864B
11,12,AS736D
12,27,AN382M
12,28,AN383M
12,32,AN533Y
12,31,AN981W
12,42,AP100N
12,22,AP137A
12,23,AP138A
12,33,AP139A
12,37,AP351E
12,39,AP474G
12,18,AP575P
12,24,AP576P
12,43,AP577P
12,21,AP578F
12,38,AP579F
12,34,AP700B
12,35,AP701B
12,17,AP721K
12,41,AP757M
12,29,AP925T
12,40,AP967H
12,45,AR715D
12,19,AR942C
12,25,AR943C
12,26,AR944C
12,44,AR945C
12,51,AS100E
12,46,AS210A
12,47,AS211A
12,53,AS377F
12,48,AS725D
12,52,AS804E
12,49,AS998D
12,50,AS999D
13,56,AL347A
13,170,AN316V
13,486,AN317V
13,25,AN318V
13,45,AN319V
13,99,AN329P
14,7,AR470F
15,3,AN828W
15,1,AP134Z
15,4,AP191K
15,7,AP444Z
15,5,AP508N
15,6,AP584U
15,10,AR713H
15,2,AR770G
15,9,AR771G
15,8,AR804C
15,14,AS287D
15,11,AS619C
15,12,AS620C
15,13,AS621C
16,1,AP235S
16,6,AR439C
16,16,AR786B
17,16,AP320X
18,7,AR422E
19,28,AM873Z
19,39,AP166S
19,42,AP440X
19,44,AP676Y
19,40,AP907S
20,501,AP503Z
20,503,AP504Z
20,504,AR509B
21,2027,AR993H
22,240,AF86556
22,214,AG08587
22,247,AG18016
22,418,P3950H
22,419,PT112M
22,404,PT2530V
22,405,PT7832L
22,416,XCN8050
22,430,XGR6356
22,401,XHH4443
22,413,XP41958
23,21,AL487L
23,3,AM469H
23,9,AM740D
23,12,AN409B
23,6,AN570Z
24,10,AP124L
24,9,AP153H
24,12,AP345S
24,13,AP668X
24,14,AR610G
24,15,AR611Z
24,18,AS121E
24,17,AS307C
24,19,AS319F
24,16,AS622A
25,3,AK817R
25,4,AK924W
25,2,AL876T
25,8,AN951K
25,5,AP921W
25,12,AS185D
25,6,AS709D
25,7,AS710D
26,72,AP573W
26,67,AR621C
27,3264,AN590H
27,3203,AR377D
28,1,AP462L
28,2,AP948W
28,3,AS250B
28,4,AS677F
29,1,AR908E
30,2,AR338C
31,2,AK597T
31,1,AM421H
31,4,AN983L
31,5,AP414M
31,3,AP962W
31,7,AR207H
31,6,AR497D
32,8,AP890Z
33,3,AP322U
34,24,AB690W
34,420,AK185V
34,83,AL337N
34,29,AL410E
34,223,AM320V
34,288,AN370M
34,10,AN550M
34,91,AN556Y
34,21,AN694R
34,87,AN719Y
34,36,AN843J
34,28,AN869W
34,29,AP256H
34,13,AP278K
34,27,AP279K
34,30,AP304X
34,31,AP305X
34,32,AP306X
34,94,AP328G
34,100,AP638R
34,101,AP639R
34,97,AP791H
34,98,AP79ZH
34,61,AP864P
34,62,AP865P
34,22,AP874P
34,1,AR903C
34,11,AR904C
34,55,AS520B
34,56,AS521B
34,44,AS530D
34,45,AS531D
35,4,AS848F
35,3,AS853C
36,1,AN465R
36,10,AG21764
37,2,AP357L
38,8,AP651N
39,30,AN548V
39,22,AP140C
39,26,AP156V
39,8,AP451N
39,7,AP483W
39,10,AP571W
39,17,AP650X
39,5,AP953P
39,11,AP964W
39,14,AR285F
39,6,AR403E
39,15,AR463G
39,13,AR788F
40,27,AP868G
41,8,AS156F
42,5,AN914Z
42,12,AP695R
42,1,AP700W
42,11,AP838D
42,15,AP840D
42,9,AS501D
42,7,AS563A
42,17,AS673B
42,13,AS674B
42,19,AS733B
43,77,AP249P
44,38,AN397Z
44,28,AP207R
44,68,AP493Y
44,18,AP993P
44,17,AS253C
45,7,AL116A
45,53,AM680T
45,10,AN381D
46,78,AP797Y
47,9,AM395Z
47,5,AN316N
47,2,AP161M
47,4,AP494Y
47,22,AP751U
47,26,AR602A
47,30,AR770E
47,32,AR922F
47,1,AS109D
47,12,AS116B
47,34,AS836B
47,21,AS837B
47,40,AS838B
48,33,AR648H
48,100,AS268B
48,222,AS505F
48,999,AS719B
48,33,AS7A9B
49,7,AH131X
49,10,AP797X
49,12,AR989F
49,23,AR990F
50,235,AP232W
50,230,AP260R
50,231,AP472T
50,224,AP800U
50,225,AP801U
50,226,AP802U
50,227,AP803U
50,232,AP804U
50,233,AP805U
50,234,AP806W
50,237,AR914E
50,238,AR915E
50,236,AS231C
51,2,AM991T
51,1,AP307E
51,3,AR175A
51,4,AR349H
52,1,AR241F
